,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
79,Travis d'Arnaud,10,107,396,61,106,25,1,18,60,19,90,0,0,.268
 ,Eric Hosmer,12,104,380,38,102,19,0,8,44,37,64,0,0,.268
 ,Jose Miranda,1,125,444,45,119,25,0,15,66,28,91,1,1,.268
82,Corey Dickerson,0,97,281,28,75,17,1,6,36,12,48,0,0,.267
 ,George Springer,9,133,513,89,137,22,4,25,76,54,100,14,2,.267
 ,Teoscar Hernandez,7,131,499,71,133,35,1,25,77,34,152,6,3,.267
 ,Santiago Espinal,3,135,449,51,120,25,0,7,51,36,68,6,6,.267
86,Mark Canha,8,140,462,71,123,24,0,13,61,48,97,3,1,.266
 ,Josh Bell,7,156,552,78,147,29,3,17,71,81,102,0,1,.266
 ,Brendan Rodgers,4,137,527,72,140,30,3,13,63,46,101,0,0,.266
 ,Ronald Acuna Jr.,5,119,467,71,124,24,0,15,50,53,126,29,11,.266
90,Raimel Tapia,7,128,411,47,109,20,3,7,52,16,81,8,2,.265
 ,Tommy Edman,1,153,577,95,153,31,4,13,57,46,111,32,3,.265
92,Charlie Blackmon,12,135,530,60,140,22,6,16,78,32,109,4,1,.264
 ,Austin Slater,6,125,277,49,73,15,2,7,34,40,89,12,1,.264
 ,Luis Rengifo,4,127,489,45,129,22,4,17,52,17,79,6,2,.264
95,Nick Castellanos,7,136,524,56,138,27,0,13,62,29,130,7,1,.263
 ,Brandon Drury,8,138,518,87,136,31,2,28,87,38,126,2,3,.263
 ,Ildemaro Vargas,6,63,209,19,55,13,1,4,23,8,23,3,1,.263
 ,Randy Arozarena,4,153,586,72,154,41,3,20,89,46,156,32,12,.263
99,Bryan Reynolds,4,145,542,74,142,19,4,27,62,56,141,7,3,.262
 ,Seiya Suzuki,1,111,397,54,104,22,2,14,46,42,110,9,5,.262
101,DJ LeMahieu,12,125,467,74,122,18,0,12,46,67,71,4,3,.261
 ,Wil Myers,0,77,261,29,68,15,0,7,41,21,86,2,1,.261
 ,Garrett Cooper,6,119,414,37,108,33,2,9,50,40,119,0,0,.261
 ,Isiah Kiner-Falefa,5,142,483,66,126,20,0,4,48,35,72,22,4,.261
 ,Leody Taveras,3,99,314,39,82,14,2,5,34,21,88,11,5,.261
106,Danny Jansen,5,72,215,34,56,10,0,15,44,25,44,1,0,.260
 ,Thairo Estrada,4,140,488,71,127,23,2,14,62,33,89,21,6,.260
 ,Will Smith,4,137,508,68,132,26,3,24,87,56,96,1,0,.260
109,Randal Grichuk,9,140,506,60,131,21,3,19,73,24,127,4,0,.259
 ,Joey Wendle,4,101,347,27,90,24,1,3,32,15,50,12,3,.259
 ,Alex Bregman,7,155,548,93,142,38,0,23,93,87,77,1,2,.259
 ,Jake Fraley,4,68,216,33,56,9,0,12,28,26,54,4,1,.259
113,Cedric Mullins,5,156,608,89,157,32,4,16,64,47,126,34,10,.258
114,C.J. Cron,9,150,575,79,148,28,3,29,102,43,164,0,0,.257
 ,Gleyber Torres,5,140,526,73,135,28,1,24,76,39,129,10,5,.257
 ,Kyle Tucker,5,150,544,71,140,28,1,30,107,59,95,25,4,.257
 ,Jose Azocar,1,98,202,24,52,9,3,0,10,12,44,5,6,.257
118,Trayce Thompson,6,80,219,36,56,14,1,13,41,32,93,4,1,.256
 ,Josh Harrison,0,119,386,50,99,19,2,7,27,21,71,2,1,.256
 ,Josh Naylor,4,122,449,47,115,28,0,20,79,38,80,6,1,.256
121,Hunter Renfroe,7,125,474,62,121,23,1,29,72,39,121,1,1,.255
 ,Kyle Farmer,6,145,526,58,134,25,1,14,78,33,99,4,3,.255
 ,David Fletcher,5,61,216,20,55,9,1,2,17,7,16,1,0,.255
124,Miguel Cabrera,20,112,397,25,101,10,0,5,43,28,101,1,0,.254
 ,Salvador Perez,11,114,445,48,113,23,1,23,76,18,109,0,0,.254
 ,Michael Taylor,9,124,414,49,105,10,3,9,43,35,109,4,2,.254
 ,Eric Haase,5,110,323,41,82,17,1,14,44,24,97,0,0,.254
 ,Victor Reyes,0,92,315,27,80,19,3,3,34,13,77,2,2,.254
 ,Luis Gonzalez,3,98,311,31,79,17,2,4,36,30,75,10,2,.254
 ,Jazz Chisholm Jr.,3,60,213,39,54,10,4,14,45,21,66,12,5,.254
 ,Adley Rutschman,1,113,398,70,101,35,1,13,42,65,86,4,0,.254
 ,Bobby Witt Jr.,1,150,591,82,150,31,6,20,80,30,135,30,7,.254
133,Jeremy Pena,1,136,521,72,132,20,2,22,63,22,135,11,2,.253
 ,Riley Greene,1,93,376,46,95,18,4,5,42,36,120,1,4,.253
 ,Juan Yepez,0,76,253,27,64,13,0,12,30,16,61,0,0,.253
136,Christian Yelich,10,154,575,99,145,25,4,14,57,88,162,19,3,.252
 ,Christian Bethancourt,4,100,318,39,80,17,0,11,34,12,80,5,1,.252
 ,Bryan De La Cruz,0,115,329,38,83,20,0,13,43,19,90,4,0,.252
139,Kolten Wong,10,134,430,65,108,24,4,15,47,46,88,17,6,.251
 ,Austin Nola,4,110,347,40,87,15,0,4,40,34,60,2,1,.251
 ,David Peralta,9,134,439,39,110,30,3,12,59,41,114,1,3,.251
 ,Keibert Ruiz,3,112,394,33,99,22,0,7,36,30,50,6,1,.251
 ,Ha-Seong Kim,2,150,517,58,130,29,3,11,59,51,100,12,2,.251
144,Whit Merrifield,4,139,504,70,126,28,1,11,58,38,85,16,5,.250
 ,Matt Duffy,7,77,228,14,57,8,0,2,16,17,50,0,0,.250
 ,Sean Murphy,4,148,537,67,134,37,2,18,66,56,124,1,0,.250
 ,Ryan Mountcastle,3,145,555,62,139,28,1,22,85,43,154,4,1,.250
 ,Harrison Bader,6,86,292,38,73,10,3,5,30,15,62,17,3,.250
 ,Adolis Garcia,4,156,605,88,151,34,5,27,101,40,183,25,6,.250
 ,Austin Hays,5,145,535,66,134,35,2,16,60,34,114,2,4,.250
151,Elvis Andrus,14,149,535,66,133,32,0,17,58,39,92,18,4,.249
 ,Nick Madrigal,0,59,209,19,52,7,0,0,7,14,27,3,1,.249
 ,Jonathan India,0,103,386,48,96,16,2,10,41,31,94,3,4,.249
154,Cesar Hernandez,0,147,560,64,139,28,4,1,34,45,114,10,4,.248
 ,Marcus Semien,10,161,657,101,163,31,5,26,83,53,120,25,8,.248
 ,J.D. Davis,6,115,318,46,79,16,1,12,35,39,122,1,1,.248
 ,Jose Trevino,0,115,335,39,83,12,1,11,43,15,62,2,1,.248
 ,Ramon Urias,3,118,403,50,100,17,1,16,51,30,98,1,0,.248
159,Ozzie Albies,6,64,247,36,61,16,0,8,35,16,47,3,5,.247
160,Jorge Alfaro,7,82,256,25,63,14,0,7,40,11,98,1,0,.246
 ,Mitch Haniger,6,57,224,31,55,8,0,11,34,20,65,0,0,.246
 ,Matt Reynolds,5,92,244,31,60,10,1,3,23,26,78,5,0,.246
 ,Ryan McMahon,6,153,529,67,130,23,3,20,67,60,158,7,3,.246
 ,Rhys Hoskins,6,156,589,81,145,33,2,30,79,72,169,2,1,.246
 ,Matt Vierling,2,117,325,41,80,12,2,6,32,23,70,7,4,.246
 ,CJ Abrams,0,90,284,33,70,12,2,2,21,5,50,7,4,.246
167,AJ Pollock,11,138,489,61,120,26,1,14,56,32,98,3,1,.245
 ,Corey Seager,8,151,593,91,145,24,1,33,83,58,103,3,0,.245
 ,Chas McCormick,0,119,359,47,88,12,2,14,44,46,106,4,3,.245
 ,Brandon Marsh,2,134,424,49,104,18,4,11,52,28,158,10,4,.245
171,Evan Longoria,15,89,266,31,65,13,0,14,42,27,83,0,0,.244
 ,Orlando Arcia,7,67,209,25,51,9,0,9,30,21,51,0,0,.244
 ,Ke'Bryan Hayes,0,136,505,55,123,24,3,7,41,48,122,20,5,.244
174,Jurickson Profar,9,152,575,82,140,36,2,15,58,73,103,5,1,.243
 ,Willson Contreras,0,113,416,65,101,23,2,22,55,45,103,4,2,.243
 ,J.P. Crawford,6,145,518,57,126,24,3,6,42,68,80,3,2,.243
 ,Aledmys Diaz,7,92,305,35,74,13,0,12,38,18,53,1,1,.243
 ,Owen Miller,2,130,424,53,103,26,1,6,51,32,93,2,0,.243
179,Christian Walker,8,160,583,84,141,25,2,36,94,69,131,2,2,.242
 ,Francisco Mejia,6,93,289,32,70,22,0,6,31,7,65,0,0,.242
 ,Yuli Gurriel,7,146,545,53,132,40,0,8,53,30,73,8,0,.242
 ,Juan Soto,5,153,524,93,127,25,2,27,62,135,96,6,2,.242
183,Rafael Ortega,6,118,316,35,76,14,1,7,35,44,74,12,7,.241
 ,Willi Castro,4,112,365,47,88,18,2,8,31,15,82,9,4,.241
 ,Lane Thomas,1,146,498,62,120,26,2,17,52,41,132,8,4,.241
 ,Gavin Sheets,0,124,377,34,91,19,0,15,53,27,86,0,0,.241
187,Eduardo Escobar,12,136,495,58,119,26,4,20,69,40,129,0,2,.240
 ,Jon Berti,5,102,358,47,86,17,3,4,28,42,89,41,5,.240
 ,Ketel Marte,8,137,492,68,118,42,2,12,52,55,101,5,1,.240
 ,Matt Olson,7,162,616,86,148,44,0,34,103,75,170,0,0,.240
 ,TJ Friedl,0,72,225,33,54,10,5,8,25,20,40,7,2,.240
 ,Anthony Santander,6,152,574,78,138,24,0,33,89,55,122,0,2,.240
 ,Jake Cronenworth,0,158,587,88,141,31,4,17,88,70,131,3,0,.240
194,Trey Mancini,6,143,519,56,124,23,1,18,63,53,135,0,0,.239
 ,Luis Urias,5,119,406,54,97,17,1,16,47,50,99,1,2,.239
